
                                       List of relations
 Schema |                              Name                               |   Type   |  Owner
 public | stock_relationship_cvterm_stock_relationship_cvterm_id_seq      | sequence | postgres
 public | stock_relationship_pub                                          | table    | postgres
 public | stock_relationship_pub_stock_relationship_pub_id_seq            | sequence | postgres
 public | stock_relationship_stock_relationship_id_seq                    | sequence | postgres
 public | stock_stock_id_seq                                              | sequence | postgres
 public | stockcollection                                                 | table    | postgres
 public | stockcollection_db                                              | table    | postgres
 public | stockcollection_db_stockcollection_db_id_seq                    | sequence | postgres
 public | stockcollection_stock                                           | table    | postgres
 public | stockcollection_stock_stockcollection_stock_id_seq              | sequence | postgres
 public | stockcollection_stockcollection_id_seq                          | sequence | postgres
 public | stockcollectionprop                                             | table    | postgres
 public | stockcollectionprop_stockcollectionprop_id_seq                  | sequence | postgres
 public | stockprop                                                       | table    | postgres
 public | stockprop_pub                                                   | table    | postgres
 public | stockprop_pub_stockprop_pub_id_seq                              | sequence | postgres
 public | stockprop_stockprop_id_seq                                      | sequence | postgres
 public | study                                                           | table    | postgres
 public | study_assay                                                     | table    | postgres
 public | study_assay_study_assay_id_seq                                  | sequence | postgres
 public | study_study_id_seq                                              | sequence | postgres
 public | studydesign                                                     | table    | postgres
 public | studydesign_studydesign_id_seq                                  | sequence | postgres
 public | studydesignprop                                                 | table    | postgres
 public | studydesignprop_studydesignprop_id_seq                          | sequence | postgres
 public | studyfactor                                                     | table    | postgres
 public | studyfactor_studyfactor_id_seq                                  | sequence | postgres
 public | studyfactorvalue                                                | table    | postgres
 public | studyfactorvalue_studyfactorvalue_id_seq                        | sequence | postgres
 public | studyprop                                                       | table    | postgres
 public | studyprop_feature                                               | table    | postgres
 public | studyprop_feature_studyprop_feature_id_seq                      | sequence | postgres
 public | studyprop_studyprop_id_seq                                      | sequence | postgres
 public | synonym                                                         | table    | postgres
 public | synonym_synonym_id_seq                                          | sequence | postgres
 public | tableinfo                                                       | table    | postgres
 public | tableinfo_tableinfo_id_seq                                      | sequence | postgres
 public | treatment                                                       | table    | postgres
 public | treatment_treatment_id_seq                                      | sequence | postgres
 public | type_feature_count                                              | view     | postgres
(468 rows)
